Timestep,1Hz,,
Voltage,Current,Bat_Temp,ambient_Temp
3.3788,0,40.330119,40.590271
3.2546,-6.02,40.344738,40.57178
3.2421,-5.976,40.330508,40.567012
3.2314,-5.9888,40.343885,40.57784
3.2217,-6.0425,40.322113,40.574263
3.2151,-6.0647,40.340307,40.565532
3.21,-5.8731,40.333394,40.563713
3.2034,-6.021,40.336757,40.557253
3.2008,-5.9681,40.337046,40.594287
3.1969,-5.9034,40.333344,40.574577
3.1916,-6.0147,40.321449,40.57651
3.1897,-5.9781,40.336707,40.568845
3.2728,0,40.331235,40.574288
3.2835,0,40.336355,40.575769
3.288,0,40.329266,40.586508
3.2904,0,40.339505,40.555634
3.2934,0,40.339816,40.564677
3.2939,0,40.345477,40.566698
3.2967,0,40.329768,40.567364
3.2964,0,40.335914,40.58224
3.298,0,40.34806,40.585289
3.2984,0,40.34293,40.586344
3.3003,0,40.335224,40.578277
3.3014,0,40.351385,40.580974
3.3012,0,40.346141,40.575002
3.3021,0,40.348399,40.568165
3.3025,0,40.370432,40.586192
3.3037,0,40.34973,40.588777
3.3034,0,40.369441,40.586292
3.3033,0,40.364924,40.575955
3.3044,0,40.355877,40.570184
3.3045,0,40.350305,40.57953
3.3054,0,40.35718,40.562755
3.3062,0,40.366404,40.569431
3.3058,0,40.355625,40.572842
3.3056,0,40.360858,40.571526
3.3064,0,40.351572,40.600806
3.306,0,40.363141,40.602186
3.3056,0,40.360946,40.584712
3.3075,0,40.366593,40.599817
3.306,0,40.388137,40.594798
3.3074,0,40.365702,40.575641
3.3083,0,40.374899,40.578288
3.3074,0,40.378412,40.56834
3.3077,0,40.376454,40.569657
3.307,0,40.376079,40.569281
3.308,0,40.35333,40.577824
3.3084,0,40.379765,40.57224
3.3095,0,40.37116,40.568001
3.3078,0,40.370157,40.583734
3.3086,0,40.383632,40.574286
3.3088,0,40.373946,40.567876
3.3088,0,40.389378,40.566935
3.308,0,40.383795,40.570084
3.3084,0,40.384648,40.581487
3.3093,0,40.379138,40.575614
3.3086,0,40.380832,40.583493
3.3076,0,40.382401,40.562141
3.3085,0,40.399503,40.570145
3.3082,0,40.39535,40.586731
3.3086,0,40.382187,40.573206
3.3091,0,40.382615,40.571087
3.3091,0,40.389917,40.577297
3.3091,0,40.388048,40.561966
3.3106,0,40.384484,40.565316
3.3097,0,40.393217,40.579505
3.309,0,40.384007,40.568476
3.3092,0,40.390481,40.567674
3.3104,0,40.38742,40.560247
3.3102,0,40.38141,40.569882
3.3104,0,40.384171,40.574461
3.3087,0,40.389842,40.578313
3.3092,0,40.39067,40.567499
3.3094,0,40.401084,40.589553
3.3085,0,40.396253,40.585087
3.3101,0,40.401134,40.563044
3.309,0,40.412477,40.565655
3.3103,0,40.386868,40.579341
3.3106,0,40.40407,40.574348
3.3108,0,40.41348,40.572478
3.3099,0,40.400067,40.572892
3.3095,0,40.398475,40.560022
3.3095,0,40.399464,40.573017
3.3107,0,40.407344,40.575803
3.3098,0,40.398462,40.571651
3.3108,0,40.397734,40.562919
3.3111,0,40.38944,40.584459
3.3104,0,40.396453,40.580921
3.3118,0,40.416766,40.590681
3.31,0,40.398812,40.584371
3.31,0,40.400256,40.575628
3.3113,0,40.407344,40.590355
3.3103,0,40.415136,40.587595
3.3116,0,40.416505,40.584598
3.3101,0,40.403881,40.58289
3.3103,0,40.40885,40.583493
3.3101,0,40.394056,40.582163
3.3108,0,40.405261,40.594821
3.3115,0,40.413141,40.573231
3.3102,0,40.413794,40.572428
3.3117,0,40.406903,40.573179
3.3107,0,40.411911,40.579641
3.3104,0,40.421071,40.582615
3.3107,0,40.41841,40.562855
3.3101,0,40.402939,40.567396
3.3098,0,40.414519,40.592436
3.311,0,40.412086,40.575087
3.3105,0,40.416139,40.595146
3.3107,0,40.406328,40.565691
3.311,0,40.410983,40.571801
3.3106,0,40.403317,40.58269
3.3101,0,40.397231,40.578425
3.311,0,40.408625,40.581449
3.311,0,40.394734,40.57229
3.3117,0,40.414547,40.570998
3.3117,0,40.413944,40.565666
3.312,0,40.411247,40.56879
3.3119,0,40.4023,40.574761
3.3102,0,40.408536,40.576267
3.3111,0,40.415938,40.581485
3.3123,0,40.406266,40.60092
3.311,0,40.403381,40.575478
3.311,0,40.402062,40.587256
3.3116,0,40.420043,40.58377
3.3107,0,40.399678,40.584509
3.3118,0,40.4122,40.576655
3.3109,0,40.416091,40.594007
3.3113,0,40.419052,40.592966
3.3119,0,40.425651,40.598837
3.3122,0,40.41476,40.590858
3.3117,0,40.414547,40.591372
3.3105,0,40.411861,40.595235
3.3118,0,40.394295,40.600228
3.3105,0,40.415363,40.607832
3.3116,0,40.41451,40.588061
3.3102,0,40.418085,40.61019
3.3113,0,40.401234,40.59043
3.3109,0,40.415438,40.59481
3.3119,0,40.422515,40.598248
3.3109,0,40.421435,40.577886
3.311,0,40.410419,40.601433
3.3112,0,40.403294,40.579393
3.3105,0,40.414308,40.583493
3.3113,0,40.418536,40.600817
3.3122,0,40.407558,40.591297
3.3116,0,40.418022,40.603578
3.3124,0,40.399653,40.58594
3.3112,0,40.405275,40.582829
3.3117,0,40.415977,40.579705
3.3104,0,40.407833,40.589753
3.3115,0,40.417433,40.576067
3.311,0,40.399428,40.580257
3.3124,0,40.404447,40.575453
3.3118,0,40.407622,40.578991
3.3103,0,40.418324,40.579505
3.3112,0,40.419366,40.582365
3.3108,0,40.403783,40.5988
3.3121,0,40.418285,40.585287
3.312,0,40.418574,40.591761
3.312,0,40.401761,40.572767
3.312,0,40.425954,40.598775
3.311,0,40.407822,40.597745
3.312,0,40.406542,40.589553
3.312,0,40.403431,40.593355
3.3118,0,40.421185,40.580182
3.3122,0,40.411286,40.595024
3.3119,0,40.434159,40.60225
3.3121,0,40.424987,40.597809
3.3118,0,40.410922,40.601572
3.3124,0,40.412213,40.601408
3.3117,0,40.42018,40.590092
3.3121,0,40.416869,40.59333
3.3127,0,40.419666,40.603403
3.3122,0,40.412978,40.595988
3.3114,0,40.420944,40.597404
3.3123,0,40.412866,40.594057
3.3114,0,40.417808,40.596815
3.3117,0,40.409403,40.57968
3.3124,0,40.399201,40.5753
3.3118,0,40.410708,40.598812
3.3119,0,40.399653,40.598673
3.3128,0,40.402928,40.60122
3.3119,0,40.401084,40.593191
3.3118,0,40.402653,40.587847
3.3131,0,40.41993,40.590933
3.3117,0,40.406517,40.592074
3.3125,0,40.40683,40.607668
3.3117,0,40.409102,40.596843
3.3112,0,40.413657,40.606854
3.3123,0,40.422802,40.601081
3.3121,0,40.417783,40.598246
3.3124,0,40.431023,40.595112
3.3121,0,40.410544,40.603378
3.3124,0,40.401247,40.603177
3.3971,6.0193,40.428876,40.610429
3.4162,6.006,40.408036,40.612148
3.4271,6.0179,40.413394,40.607682
3.4372,6.0014,40.408311,40.609876
3.447,6.0142,40.415913,40.622207
3.4556,6.0018,40.404372,40.613214
3.4677,6.007,40.41461,40.603077
3.4773,6.0108,40.414196,40.605574
3.4916,6.0191,40.419529,40.604358
3.5077,6.0005,40.402314,40.622434
3.5271,6.0019,40.419077,40.606452
3.5515,5.9931,40.387684,40.610717
3.5001,0,40.420846,40.614042
3.4427,0,40.416705,40.597532
3.4259,0,40.424221,40.605774
3.4201,0,40.405664,40.598134
3.4148,0,40.416957,40.611973
3.4118,0,40.414235,40.593971
3.409,0,40.415727,40.610742
3.406,0,40.415475,40.611581
3.4039,0,40.411699,40.603077
3.4018,0,40.421999,40.612284
3.4004,0,40.402077,40.607282
3.3997,0,40.417596,40.614067
3.3978,0,40.418763,40.592313
3.3961,0,40.416805,40.603453
3.3962,0,40.414046,40.593054
3.3956,0,40.434297,40.604207
3.3956,0,40.432628,40.612725
3.3946,0,40.416341,40.585162
3.3943,0,40.432176,40.613364
3.3933,0,40.427973,40.622259
3.3928,0,40.414497,40.604419
3.3926,0,40.428223,40.614506
3.391,0,40.422151,40.613528
3.39,0,40.419077,40.602814
3.3904,0,40.438236,40.589955
3.3905,0,40.42466,40.595662
3.39,0,40.433506,40.589955
3.3899,0,40.434372,40.60501
3.3891,0,40.425665,40.611947
3.3886,0,40.415777,40.612248
3.388,0,40.431587,40.607318
3.3889,0,40.43279,40.619071
3.3889,0,40.453643,40.608998
3.3871,0,40.436567,40.623939
3.388,0,40.427821,40.590092
3.388,0,40.431398,40.595124
