Timestep,1Hz,,
Voltage,Current,Bat_Temp,ambient_Temp
3.3347,0,31.045872,31.023141
3.3354,0,31.041663,31.021498
3.3353,0,31.039892,31.009095
3.3349,0,31.044468,31.013671
3.335,0,31.05754,31.012078
3.3347,0,31.035607,31.029741
3.3348,0,31.044227,31.000965
3.3356,0,31.036542,31.011611
3.3348,0,31.050398,31.020701
3.4338,6.0277,31.041775,31.006579
3.4782,5.9994,31.050258,31.010662
3.5052,6.0127,31.038817,31.013153
3.5328,5.9951,31.040448,31.011118
3.5682,6.0049,31.042103,31.012773
3.6134,5.9951,31.045467,31.005137
3.6681,5.9958,31.034278,31.029512
3.7351,5.9931,31.03357,31.023304
3.8123,5.9983,31.048363,31.030765
3.8945,5.9958,31.031459,31.015327
3.9916,6.0002,31.048968,31.018171
4.0893,6.0011,31.049298,31.023634
4.0985,0,31.049614,31.012951
4.0293,0,31.037288,31.026656
3.9888,0,31.051016,31.023886
3.9575,0,31.047375,31.020245
3.9299,0,31.043482,31.027351
3.909,0,31.025999,31.008767
3.8896,0,31.03725,31.021118
3.8726,0,31.038553,31.010689
3.8593,0,31.054039,31.01481
3.8471,0,31.025797,31.001966
3.8364,0,31.052623,31.007161
3.8248,0,31.044582,31.023318
3.8168,0,31.045569,31.023205
3.8061,0,31.052989,31.01816
3.7977,0,31.054039,31.024709
3.7901,0,31.060083,31.010222
3.7817,0,31.046947,31.009551
3.7752,0,31.061751,31.009324
3.7682,0,31.052547,31.017717
3.7624,0,31.049829,30.996668
3.7565,0,31.041991,31.006794
3.7504,0,31.057173,31.026377
3.744,0,31.056188,30.999727
3.7382,0,31.042749,31.015985
3.7347,0,31.057237,31.015442
3.7294,0,31.061941,31.01098
3.7262,0,31.051839,31.015909
3.7201,0,31.044962,31.018932
3.7176,0,31.081888,31.014429
3.7133,0,31.06481,31.013483
3.7085,0,31.052153,31.011457
3.7054,0,31.057034,31.012305
3.7014,0,31.06457,31.007376
3.6994,0,31.053129,31.005834
3.6955,0,31.058463,31.007869
3.6935,0,31.073178,31.022218
3.6908,0,31.057173,31.008778
3.6862,0,31.050865,31.00797
3.6853,0,31.064657,31.022862
3.6819,0,31.07118,31.030119
3.6795,0,31.068928,31.009535
3.6754,0,31.057565,31.006604
3.6744,0,31.077502,31.026175
3.6727,0,31.062318,31.007324
3.6691,0,31.072381,31.009688
3.6668,0,31.075174,31.016515
3.6652,0,31.068511,31.015717
3.6624,0,31.070131,31.001205
3.6615,0,31.080712,31.015454
3.6599,0,31.074948,31.006022
3.6579,0,31.062279,31.017184
3.655,0,31.089699,31.017842
3.6526,0,31.094997,31.016173
3.6508,0,31.07544,31.010181
3.6499,0,31.065086,31.004959
3.6477,0,31.073266,30.999207
3.6468,0,31.087032,31.016274
3.6448,0,31.075882,31.002557
3.6438,0,31.082873,31.013582
3.6411,0,31.069171,31.009044
3.6401,0,31.074973,31.018513
3.6397,0,31.074088,31.011762
3.6373,0,31.080307,30.998916
3.6366,0,31.074113,31.020586
3.6351,0,31.073822,31.00783
3.634,0,31.09238,30.997058
3.632,0,31.072672,31.00008
3.6318,0,31.083203,31.005845
3.6302,0,31.085921,31.00563
3.6284,0,31.083595,31.006237
3.6282,0,31.092217,31.011927
3.6276,0,31.078575,31.00745
3.6245,0,31.069285,31.02749
3.6242,0,31.060005,31.002078
3.6221,0,31.090737,30.997614
3.6225,0,31.083127,31.009069
3.6212,0,31.075745,31.009752
3.6206,0,31.103531,31.001611
3.6184,0,31.085694,31.001003
3.6176,0,31.069285,31.010625
3.6176,0,31.092242,31.005353
3.6154,0,31.073987,31.007995
3.6148,0,31.072901,30.998109
3.6133,0,31.075708,31.011915
3.6136,0,31.080284,31.011359
3.6123,0,31.08213,30.992674
3.6123,0,31.072459,30.9962
3.6106,0,31.083001,31.010777
3.6106,0,31.06792,31.00926
3.6089,0,31.084417,31.022825
3.6066,0,31.086301,31.000877
3.6073,0,31.074393,31.010967
3.6066,0,31.07706,31.009601
3.6059,0,31.093761,31.013471
3.605,0,31.085797,31.002939
3.6035,0,31.094355,31.001966
3.6023,0,31.088223,30.999133
3.6035,0,31.086908,31.003684
3.6025,0,31.081067,30.99711
3.6017,0,31.084115,31.00639
3.6015,0,31.076391,31.009298
3.6013,0,31.069084,31.012257
3.6003,0,31.073914,30.995089
3.5983,0,31.094178,31.010955
3.5988,0,31.081031,31.019438
3.5977,0,31.084912,31.004621
3.5989,0,31.092231,31.005708
3.5981,0,31.079298,31.012573
3.5981,0,31.074924,31.011865
3.597,0,31.07849,31.016897
3.5966,0,31.074028,31.012068
3.5953,0,31.074177,31.005618
3.5942,0,31.091511,31.004255
3.5946,0,31.076682,31.005923
3.5942,0,31.082055,31.011663
3.5945,0,31.086012,31.002788
3.5923,0,31.087794,31.001271
3.593,0,31.073623,31.00983
3.5919,0,31.097326,31.001271
3.5906,0,31.076606,31.015746
3.5912,0,31.077467,31.007442
3.5898,0,31.088427,30.996771
3.5907,0,31.091435,31.010778
3.5905,0,31.084307,31.002183
3.5882,0,31.096896,31.014039
3.5899,0,31.073497,31.023636
3.589,0,31.088402,31.010678
3.5887,0,31.091447,31.017023
3.588,0,31.089387,31.008363
3.5891,0,31.084154,31.018895
3.5866,0,31.082295,31.019236
3.5881,0,31.078895,31.025001
3.5869,0,31.097427,31.016771
3.5866,0,31.085682,31.010891
3.5873,0,31.086278,30.999021
3.5867,0,31.074571,31.012978
3.5852,0,31.082357,31.017099
3.5859,0,31.076492,31.026631
3.5844,0,31.086429,31.008705
3.5848,0,31.082965,31.018439
3.5826,0,31.086505,31.01318
3.5832,0,31.073749,30.996757
3.583,0,31.085923,31.002332
3.5824,0,31.07505,31.018957
3.5845,0,31.077213,31.007188
3.5821,0,31.081081,31.003723
3.5825,0,31.086188,31.016164
3.5812,0,31.11027,31.014949
3.5816,0,31.086945,31.002988
3.5821,0,31.081131,30.992408
3.5811,0,31.084165,31.016707
3.581,0,31.087932,31.016808
3.5799,0,31.083735,31.023242
3.5798,0,31.074278,31.009386
3.5788,0,31.073836,30.997578
3.5786,0,31.080206,31.015314
3.5793,0,31.076845,31.012685
3.5786,0,31.073469,31.017743
3.58,0,31.071889,31.017628
3.5788,0,31.087488,31.010497
3.5789,0,31.077172,31.024379
3.5778,0,31.078334,31.021874
3.5782,0,31.073241,31.025946
3.5776,0,31.082255,31.026162
3.5779,0,31.089207,31.003783
3.5771,0,31.088146,31.020687
3.5765,0,31.083682,31.027223
3.5784,0,31.076616,31.022356
3.5771,0,31.087083,31.011925
3.5783,0,31.077008,31.034113
3.5767,0,31.08846,31.022468
3.575,0,31.093061,31.010571
3.5766,0,31.072785,31.020358
3.5762,0,31.080749,31.017324
3.5756,0,31.072835,31.038006
3.576,0,31.07956,31.025667
3.5758,0,31.079776,31.028082
3.5758,0,31.084491,31.023999
3.5753,0,31.07415,31.027956
3.5739,0,31.090786,31.014162
3.5752,0,31.087158,31.033265
3.5754,0,31.081393,31.011002
3.5754,0,31.079194,31.024567
3.4373,-2.9738,31.07525,31.011091
3.3758,-2.9973,31.072214,31.029686
3.3446,-2.9898,31.094894,31.038801
