Timestep,1Hz,,
Voltage,Current,Bat_Temp,ambient_Temp
3.4524,0,20.238127,20.068987
3.1858,-6.0105,20.240593,20.073305
3.1533,-5.9746,20.249673,20.059808
3.1379,-6.0199,20.240026,20.068666
3.1288,-5.99,20.250684,20.059708
3.122,-6.0058,20.232698,20.070961
3.1148,-6.0675,20.244814,20.080857
3.1108,-5.9982,20.252239,20.063114
3.1056,-5.9644,20.25103,20.066717
3.1028,-5.9952,20.247034,20.076416
3.0972,-6.055,20.247699,20.081893
3.0942,-6.0333,20.229566,20.080043
3.2319,0,20.247947,20.072147
3.2583,0,20.270275,20.076712
3.266,0,20.245332,20.078045
3.2712,0,20.245159,20.067878
3.2748,0,20.244296,20.073307
3.2788,0,20.256878,20.071826
3.2812,0,20.246959,20.059314
3.2838,0,20.246419,20.063586
3.2852,0,20.251501,20.04683
3.2854,0,20.260382,20.049421
3.2883,0,20.261073,20.051223
3.2895,0,20.261493,20.060155
3.2922,0,20.262258,20.059441
3.2929,0,20.255646,20.054308
3.2953,0,20.269634,20.061636
3.2956,0,20.278911,20.070545
3.296,0,20.284684,20.058922
3.2971,0,20.279971,20.070494
3.2977,0,20.278196,20.070199
3.2992,0,20.283081,20.08989
3.3004,0,20.274347,20.079674
3.3014,0,20.289051,20.065881
3.3015,0,20.275285,20.0758
3.303,0,20.276049,20.098033
3.303,0,20.285473,20.075997
3.3032,0,20.288384,20.057071
3.3031,0,20.270942,20.072938
3.3038,0,20.285327,20.067338
3.3056,0,20.297218,20.064055
3.3051,0,20.295762,20.051495
3.3063,0,20.289964,20.057911
3.3058,0,20.293912,20.060379
3.3055,0,20.292481,20.056356
3.3066,0,20.305285,20.038442
3.3068,0,20.301361,20.053764
3.3063,0,20.294996,20.02778
3.307,0,20.30447,20.050582
3.3071,0,20.309898,20.047868
3.3082,0,20.295689,20.048091
3.3092,0,20.306173,20.047103
3.309,0,20.297119,20.042859
3.3094,0,20.317843,20.046931
3.3074,0,20.310194,20.055937
3.3094,0,20.311378,20.057862
3.3085,0,20.320852,20.039947
3.3097,0,20.331681,20.043006
3.3109,0,20.312168,20.044586
3.3091,0,20.314116,20.043204
3.3107,0,20.301756,20.052308
3.311,0,20.321862,20.063536
3.3107,0,20.310244,20.06561
3.31,0,20.303928,20.05078
3.3117,0,20.319224,20.056086
3.3109,0,20.319716,20.042142
3.3116,0,20.333385,20.0721
3.3123,0,20.322012,20.068867
3.3118,0,20.313425,20.054357
3.3122,0,20.316486,20.048535
3.3125,0,20.316115,20.06482
3.3137,0,20.322308,20.052877
3.3125,0,20.323516,20.077775
3.3139,0,20.314414,20.059787
3.3128,0,20.317768,20.073136
3.3118,0,20.31957,20.056061
3.3133,0,20.318558,20.05838
3.313,0,20.301388,20.063785
3.3133,0,20.324947,20.06181
3.3141,0,20.316289,20.060922
3.3137,0,20.307408,20.063884
